Name,x,y,width,height,gameWidth,gameHeight,xPercent,yPercent,widthPercent,heightPercent,Mask,Type,Comparator,Outlined
Awakening 1,376,87,751,34,1348,758,0.2789,0.1148,0.5571,0.0449,*Awaken Quest,TEXT,EQUAL_TO,0
Awakening 2,376,327,751,34,1348,758,0.2789,0.4314,0.5571,0.0449,*Awaken Quest,TEXT,EQUAL_TO,0
Legend Stage Reset Chances,448,239,481,75,1348,758,0.3323,0.3153,0.3568,0.0989,/,NUMBER_SPLIT,HIGHER_THAN,0
Stamina,345,23,139,43,1348,758,0.2559,0.0303,0.1031,0.0567,/,NUMBER_SPLIT,HIGHER_THAN,0
Facebook Claim All,710,608,183,32,1348,758,0.5267,0.8021,0.1358,0.0422,Claim All,TEXT,EQUAL_TO,0
Facebook Send All,710,608,183,32,1348,758,0.5267,0.8021,0.1358,0.0422,One-Touch Send,TEXT,EQUAL_TO,0
Arena Chances,253,508,75,39,1348,758,0.1877,0.6702,0.0556,0.0515,/,NUMBER_SPLIT,HIGHER_THAN,1
Crystal Spire Free Sweeps,411,699,141,29,1348,758,0.3049,0.9222,0.1046,0.0383,Free Sweeps,TEXT,EQUAL_TO,0
Legend Stage Chances,566,277,60,46,1348,758,0.4199,0.3654,0.0445,0.0607,/,NUMBER_SPLIT,HIGHER_THAN,0
